crowdedness,dhall,datetime
2,GH,2019-05-06 14:02:02.049004
1,PC,2019-05-06 14:02:02.053008
1,SM,2019-05-06 14:02:02.054009
1,TD,2019-05-06 14:02:02.055010
1,ES,2019-05-06 14:02:02.056012
0,BR,2019-05-06 14:11:38.541004
0,DC,2019-05-06 14:11:38.544006
0,PC,2019-05-06 14:11:38.547009
0,SM,2019-05-06 14:11:38.548010
0,ES,2019-05-06 14:11:38.551013
2,TC,2019-05-06 14:11:38.552014
0,BF,2019-05-06 14:11:38.553015
0,MY,2019-05-06 14:11:38.554016
0,BK,2019-05-06 14:30:23.567002
0,MC,2019-05-06 14:30:23.569006
0,JE,2019-05-06 14:30:23.569007
0,TD,2019-05-06 14:30:23.570010
0,SY,2019-05-06 14:30:23.570011
0,GH,2019-05-06 14:34:06.698004
1,TC,2019-05-06 14:34:06.708013
0,TC,2019-05-06 14:35:43.697014
1,GH,2019-05-06 14:52:43.300003
2,TC,2019-05-06 14:52:43.305012
0,GH,2019-05-06 15:21:51.202004
1,TC,2019-05-06 15:21:51.207013
0,TC,2019-05-06 15:36:33.179013
1,BK,2019-05-06 16:51:14.162002
1,BR,2019-05-06 17:01:28.578004
1,GH,2019-05-06 17:01:28.579005
1,DC,2019-05-06 17:01:28.581006
1,MC,2019-05-06 17:01:28.582007
1,JE,2019-05-06 17:01:28.583008
1,PC,2019-05-06 17:01:28.584009
1,TD,2019-05-06 17:01:28.586011
1,SY,2019-05-06 17:01:28.587012
1,ES,2019-05-06 17:01:28.588013
1,TC,2019-05-06 17:01:28.588014
1,BF,2019-05-06 17:01:28.589015
1,MY,2019-05-06 17:01:28.590016
2,BK,2019-05-06 17:05:30.474001
1,SM,2019-05-06 17:05:30.478008
2,TC,2019-05-06 17:05:30.479012
3,BK,2019-05-06 17:10:28.284003
2,DC,2019-05-06 17:10:28.284006
2,MC,2019-05-06 17:10:28.284007
2,ES,2019-05-06 17:10:28.285013
2,BF,2019-05-06 17:10:28.285015
2,MY,2019-05-06 17:10:28.286016
4,BK,2019-05-06 17:16:05.588001
2,GH,2019-05-06 17:16:05.591003
2,JE,2019-05-06 17:16:05.595006
2,PC,2019-05-06 17:16:05.596007
2,SM,2019-05-06 17:16:05.597008
2,TD,2019-05-06 17:16:05.598009
3,BF,2019-05-06 17:16:05.601013
3,DC,2019-05-06 17:20:44.204005
3,MC,2019-05-06 17:20:44.204006
2,SY,2019-05-06 17:20:44.206011
3,ES,2019-05-06 17:20:44.206012
3,TC,2019-05-06 17:20:44.206013
5,BK,2019-05-06 17:25:44.299002
2,BR,2019-05-06 17:25:44.300003
3,GH,2019-05-06 17:25:44.302004
3,PC,2019-05-06 17:25:44.306008
3,MY,2019-05-06 17:25:44.312015
6,BK,2019-05-06 17:31:52.878001
4,DC,2019-05-06 17:31:52.880004
4,MC,2019-05-06 17:31:52.880005
3,TD,2019-05-06 17:31:52.883009
4,BF,2019-05-06 17:31:52.885013
7,BK,2019-05-06 17:35:29.488002
3,JE,2019-05-06 17:35:29.490007
3,SM,2019-05-06 17:35:29.491009
4,TD,2019-05-06 17:35:29.491010
3,SY,2019-05-06 17:35:29.491011
4,ES,2019-05-06 17:35:29.492012
8,BK,2019-05-06 17:40:23.153001
5,DC,2019-05-06 17:40:23.154004
4,PC,2019-05-06 17:40:23.155007
4,SM,2019-05-06 17:40:23.155008
5,TD,2019-05-06 17:40:23.156009
4,TC,2019-05-06 17:40:23.156012
5,BF,2019-05-06 17:40:23.156013
4,MY,2019-05-06 17:40:23.157014
3,TC,2019-05-06 17:46:41.494012
4,GH,2019-05-06 17:51:10.970004
4,BF,2019-05-06 17:51:10.977014
4,DC,2019-05-06 17:55:25.733006
3,SM,2019-05-06 17:55:25.736010
4,TD,2019-05-06 17:55:25.737011
4,SY,2019-05-06 17:55:25.737012
10,BK,2019-05-06 18:01:38.111002
3,MC,2019-05-06 18:01:38.115006
4,JE,2019-05-06 18:01:38.116007
3,ES,2019-05-06 18:01:38.120012
3,BF,2019-05-06 18:01:38.121014
3,MY,2019-05-06 18:01:38.122015
3,BR,2019-05-06 18:06:40.371002
3,GH,2019-05-06 18:06:40.372003
5,DC,2019-05-06 18:06:40.372004
4,MC,2019-05-06 18:06:40.373005
4,SM,2019-05-06 18:06:40.374008
4,ES,2019-05-06 18:06:40.374011
4,TC,2019-05-06 18:06:40.375012
4,BF,2019-05-06 18:06:40.375013
4,BR,2019-05-06 18:10:23.237005
4,GH,2019-05-06 18:10:23.238006
5,JE,2019-05-06 18:10:23.240009
4,MY,2019-05-06 18:10:23.248017
3,MC,2019-05-06 18:16:00.112065
3,TD,2019-05-06 18:16:00.116069
4,MC,2019-05-06 18:21:10.608006
3,SM,2019-05-06 18:21:10.609009
2,TD,2019-05-06 18:21:10.609010
3,MY,2019-05-06 18:21:10.611015
5,GH,2019-05-06 18:28:54.130005
3,MC,2019-05-06 18:28:54.131007
3,BF,2019-05-06 18:28:54.135015
9,BK,2019-05-06 18:32:24.749003
4,GH,2019-05-06 18:32:24.749005
6,DC,2019-05-06 18:32:24.750006
4,MC,2019-05-06 18:32:24.750007
6,JE,2019-05-06 18:32:24.750008
4,SM,2019-05-06 18:32:24.751010
8,BK,2019-05-06 18:35:15.318003
5,GH,2019-05-06 18:35:15.319005
5,JE,2019-05-06 18:35:15.321008
3,TD,2019-05-06 18:35:15.323011
3,SY,2019-05-06 18:35:15.323012
7,BK,2019-05-06 18:40:30.504001
5,DC,2019-05-06 18:40:30.507004
5,MC,2019-05-06 18:40:30.507005
3,PC,2019-05-06 18:40:30.508007
3,TC,2019-05-06 18:40:30.511012
4,BF,2019-05-06 18:40:30.512013
3,BR,2019-05-06 18:46:09.810004
4,GH,2019-05-06 18:46:09.811005
4,MC,2019-05-06 18:46:09.812007
4,PC,2019-05-06 18:46:09.813009
