crowdedness,dhall,datetime
0,TC,2019-05-05 01:38:27.931013
0,BF,2019-05-05 01:38:27.931014
0,PM,2019-05-05 01:38:27.931015
0,BK,2019-05-05 01:38:38.725002
0,BR,2019-05-05 01:38:38.726003
0,GH,2019-05-05 01:38:38.726004
0,DC,2019-05-05 01:38:38.726005
0,MC,2019-05-05 01:38:38.727006
0,JE,2019-05-05 01:38:38.727007
0,PC,2019-05-05 01:38:38.728008
0,SM,2019-05-05 01:38:38.728009
0,TD,2019-05-05 01:38:38.728010
0,SY,2019-05-05 01:38:38.728011
0,ES,2019-05-05 01:38:38.728012
0,TC,2019-05-05 01:38:38.729013
0,BF,2019-05-05 01:38:38.729014
0,PM,2019-05-05 01:38:38.729015
0,BK,2019-05-05 01:38:45.318002
0,BR,2019-05-05 01:38:45.319003
0,GH,2019-05-05 01:38:45.319004
0,DC,2019-05-05 01:38:45.319005
0,MC,2019-05-05 01:38:45.320006
0,JE,2019-05-05 01:38:45.320007
0,PC,2019-05-05 01:38:45.320008
0,SM,2019-05-05 01:38:45.320009
0,TD,2019-05-05 01:38:45.321010
0,SY,2019-05-05 01:38:45.321011
0,ES,2019-05-05 01:38:45.321012
0,TC,2019-05-05 01:38:45.321013
0,BF,2019-05-05 01:38:45.321014
0,PM,2019-05-05 01:38:45.322015
0,BK,2019-05-05 01:39:24.837001
0,BR,2019-05-05 01:39:24.837002
0,GH,2019-05-05 01:39:24.838003
0,DC,2019-05-05 01:39:24.838004
0,MC,2019-05-05 01:39:24.838005
0,JE,2019-05-05 01:39:24.838006
0,PC,2019-05-05 01:39:24.839007
0,SM,2019-05-05 01:39:24.839008
0,TD,2019-05-05 01:39:24.839009
0,SY,2019-05-05 01:39:24.839010
0,ES,2019-05-05 01:39:24.840011
0,TC,2019-05-05 01:39:24.840012
0,BF,2019-05-05 01:39:24.840013
0,PM,2019-05-05 01:39:24.840014
0,BK,2019-05-05 01:39:51.249072
0,BR,2019-05-05 01:39:51.249073
0,GH,2019-05-05 01:39:51.249074
0,DC,2019-05-05 01:39:51.249075
0,MC,2019-05-05 01:39:51.250076
0,JE,2019-05-05 01:39:51.250077
0,PC,2019-05-05 01:39:51.250078
0,SM,2019-05-05 01:39:51.250079
0,TD,2019-05-05 01:39:51.250080
0,SY,2019-05-05 01:39:51.251081
0,ES,2019-05-05 01:39:51.251082
0,TC,2019-05-05 01:39:51.251083
0,BF,2019-05-05 01:39:51.251084
0,PM,2019-05-05 01:39:51.251085
0,BK,2019-05-05 01:40:14.509145
0,BR,2019-05-05 01:40:14.510146
0,GH,2019-05-05 01:40:14.510147
0,DC,2019-05-05 01:40:14.511148
0,MC,2019-05-05 01:40:14.511149
0,JE,2019-05-05 01:40:14.511150
0,PC,2019-05-05 01:40:14.512151
0,SM,2019-05-05 01:40:14.512152
0,TD,2019-05-05 01:40:14.512153
0,SY,2019-05-05 01:40:14.513154
0,ES,2019-05-05 01:40:14.513155
0,TC,2019-05-05 01:40:14.513156
0,BF,2019-05-05 01:40:14.514157
0,PM,2019-05-05 01:40:14.514158
0,BK,2019-05-05 01:42:23.174175
0,BR,2019-05-05 01:42:23.174176
0,GH,2019-05-05 01:42:23.175177
0,DC,2019-05-05 01:42:23.175178
0,MC,2019-05-05 01:42:23.176179
0,JE,2019-05-05 01:42:23.176180
0,PC,2019-05-05 01:42:23.176181
0,SM,2019-05-05 01:42:23.177182
0,TD,2019-05-05 01:42:23.177183
0,SY,2019-05-05 01:42:23.177184
0,ES,2019-05-05 01:42:23.178185
0,TC,2019-05-05 01:42:23.178186
0,BF,2019-05-05 01:42:23.178187
0,PM,2019-05-05 01:42:23.179188
0,BK,2019-05-05 02:04:15.560001
0,BR,2019-05-05 02:04:15.561002
0,GH,2019-05-05 02:04:15.561003
0,DC,2019-05-05 02:04:15.562004
0,MC,2019-05-05 02:04:15.563005
0,JE,2019-05-05 02:04:15.564006
0,PC,2019-05-05 02:04:15.564007
0,SM,2019-05-05 02:04:15.565008
0,TD,2019-05-05 02:04:15.565009
0,SY,2019-05-05 02:04:15.566010
0,ES,2019-05-05 02:04:15.566011
0,TC,2019-05-05 02:04:15.567012
0,BF,2019-05-05 02:04:15.567013
0,PM,2019-05-05 02:04:15.568014
0,BK,2019-05-05 02:04:25.376090
0,BR,2019-05-05 02:04:25.378091
0,GH,2019-05-05 02:04:25.379092
0,DC,2019-05-05 02:04:25.381093
0,MC,2019-05-05 02:04:25.382094
0,JE,2019-05-05 02:04:25.383095
0,PC,2019-05-05 02:04:25.384096
0,SM,2019-05-05 02:04:25.385097
0,TD,2019-05-05 02:04:25.386098
0,SY,2019-05-05 02:04:25.387099
0,ES,2019-05-05 02:04:25.388100
0,TC,2019-05-05 02:04:25.389101
0,BF,2019-05-05 02:04:25.391102
0,PM,2019-05-05 02:04:25.392103
0,BK,2019-05-05 02:04:33.845002
0,BR,2019-05-05 02:04:33.847003
0,GH,2019-05-05 02:04:33.849004
0,DC,2019-05-05 02:04:33.851005
0,MC,2019-05-05 02:04:33.853006
0,JE,2019-05-05 02:04:33.854007
0,PC,2019-05-05 02:04:33.855008
0,SM,2019-05-05 02:04:33.857009
0,TD,2019-05-05 02:04:33.858010
0,SY,2019-05-05 02:04:33.859011
0,ES,2019-05-05 02:04:33.860012
0,TC,2019-05-05 02:04:33.861013
0,BF,2019-05-05 02:04:33.862014
0,PM,2019-05-05 02:04:33.863015
0,BK,2019-05-05 02:04:35.953002
0,BR,2019-05-05 02:04:35.955003
0,GH,2019-05-05 02:04:35.957004
